92	Z
-6	r
-12	U
-40	K
19	u
41	h
67	G
53	O
12	N
79	K
-39	O
34	P
3	j
-21	D
46	X
-5	j
81	f
68	d
73	c
90	d
4	R
28	i
57	v
74	a
83	p
56	j
-49	B
53	I
94	L
81	N
-40	e
-18	J
44	p
51	H
93	z
76	M
-18	G
40	j
65	e
68	q
-4	H
46	f
63	Y
79	a
0	w
24	D
-31	Q
74	h
53	A
-39	c
95	Z
-8	w
-47	H
84	w
79	O
-36	N
97	k
19	i
-22	X
-6	t
51	q
-26	h
58	S
-47	v
-29	z
-2	h
84	h
20	U
-42	h
26	N
-32	N
61	S
4	v
-36	c
-34	l
34	s
-38	J
73	X
99	k
-24	i
73	r
94	G
37	n
16	S
89	i
55	z
-46	Z
45	R
-38	u
-29	h
-37	E
-37	C
21	R
-17	T
-12	c
90	F
-46	J
45	z
47	h
-33	g

